,Total sessions,Subscriber sessions,Non-subscriber sessions,% sessions non subscriber
200,123659.57142857143,28654.714285714286,95004.85714285714,73.78459969958723
201,115915.04761904762,28803.666666666668,87111.38095238095,73.02570460953953
202,111096.38095238095,28994.619047619046,82101.76190476191,72.40319991577601
203,106376.71428571429,29184.571428571428,77192.14285714286,71.80116093397426
204,106927.52380952382,29855.095238095237,77072.42857142857,71.3882354842492
205,108146.71428571429,30371.714285714286,77775.0,71.21949327439388
206,109756.66666666667,30716.190476190477,79040.47619047618,71.38395985489538
207,111070.23809523809,30937.95238095238,80132.28571428571,71.55934745221029
208,112077.80952380953,31054.761904761905,81023.04761904762,71.70715096854053
209,112681.71428571429,31031.47619047619,81650.23809523809,71.9091529280943
210,113152.14285714286,31098.85714285714,82053.28571428571,72.00779311414797
211,113813.28571428571,31199.095238095237,82614.19047619047,72.15522279563778
212,114192.28571428571,31131.619047619046,83060.66666666667,72.34304094712716
213,113529.90476190476,31214.285714285714,82315.61904761905,72.03783489221031
214,113187.90476190476,31356.47619047619,81831.42857142857,71.81715774813016
215,113689.09523809524,31533.666666666668,82155.42857142857,71.7966253647812
216,114354.09523809524,31775.095238095237,82579.0,71.77576610688126
217,114020.33333333333,31849.190476190477,82171.14285714286,71.61053506952244
218,113553.52380952382,31954.428571428572,81599.09523809524,71.32550228090645
219,109178.23809523809,31932.04761904762,77246.19047619047,70.29672602607813
220,107149.80952380953,31925.285714285714,75224.52380952382,69.63369575180054
221,104617.33333333333,31911.47619047619,72705.85714285714,68.91382172713702
222,102518.95238095238,31902.809523809523,70616.14285714286,68.19559630880192
223,100117.57142857143,31845.380952380954,68272.19047619047,67.40146468477093
224,98122.28571428571,31799.333333333332,66322.95238095238,66.78624126338507
225,95376.90476190476,31669.190476190477,63707.71428571428,66.07938719297165
226,93194.80952380953,31489.714285714286,61705.09523809524,65.60772276090043
227,91861.61904761905,31424.285714285714,60437.333333333336,65.23462375760305
228,91842.85714285714,31479.619047619046,60363.23809523809,65.18731184492678
229,91293.57142857143,31444.285714285714,59849.28571428572,65.08808791745389
230,92179.33333333333,31583.52380952381,60595.80952380953,65.16657454515085
231,92206.66666666667,31623.04761904762,60583.619047619046,65.12722520703099
232,92137.09523809524,31608.714285714286,60528.380952380954,65.11761948883283
233,92222.57142857143,31883.85714285714,60338.71428571428,64.88023656050325
234,92041.66666666667,31828.285714285714,60213.380952380954,64.86843862271438
235,92837.90476190476,31751.95238095238,61085.95238095238,65.14567036651246
236,93020.09523809524,31593.809523809523,61426.28571428572,65.33783469287636
237,93238.0,31500.238095238095,61737.76190476191,65.51113832488953
238,93088.71428571429,31473.285714285714,61615.42857142857,65.49645023072742
239,93963.52380952382,31436.095238095237,62527.42857142857,65.83706395315087
240,95010.0,31566.428571428572,63443.57142857143,66.13022436039714
241,95585.61904761905,31716.14285714286,63869.47619047619,66.21768331259766
242,97260.38095238095,31999.333333333332,65261.04761904762,66.54308270154081
243,99122.14285714286,32166.04761904762,66956.09523809524,67.06705730993873
244,111084.57142857143,32743.666666666668,78340.90476190476,68.42442884756211
245,114491.19047619047,33233.19047619047,81258.0,68.94381931027758
246,115832.0,33401.09523809524,82430.90476190476,69.28674835677913
247,116087.90476190476,33590.142857142855,82497.76190476191,69.18680396671222
248,116095.28571428571,33861.333333333336,82233.95238095238,68.88726794409723
249,115293.57142857143,33977.42857142857,81316.14285714286,68.55891206382815
250,114683.42857142857,34153.71428571428,80529.71428571429,68.20039597800657
251,113429.42857142857,34248.57142857143,79180.85714285714,67.77564379607277
