,Twitter sessions,Twitter clicks
2020-09-13,28025.714285714286,3841.4285714285716
2020-09-14,26986.85714285714,3635.0
2020-09-15,27136.714285714286,3710.285714285714
2020-09-16,29767.285714285714,3772.5714285714284
2020-09-17,33318.0,4327.142857142857
2020-09-18,34475.57142857143,4568.571428571428
2020-09-19,37079.42857142857,4917.428571428572
2020-09-20,36559.57142857143,4754.571428571428
2020-09-21,41156.857142857145,4793.428571428572
2020-09-22,41678.57142857143,4575.428571428572
2020-09-23,39916.142857142855,4791.714285714285
2020-09-24,38215.57142857143,4021.5714285714284
2020-09-25,39240.142857142855,4041.5714285714284
2020-09-26,37211.71428571428,3686.0
2020-09-27,34674.42857142857,3512.4285714285716
2020-09-28,30537.0,3650.714285714286
2020-09-29,27052.285714285714,3414.0
2020-09-30,25251.85714285714,3055.714285714286
2020-10-01,23341.0,3198.285714285714
2020-10-02,20022.0,3127.714285714286
2020-10-03,19888.285714285714,3344.714285714286
2020-10-04,20757.571428571428,2805.1428571428573
2020-10-05,20561.571428571428,2599.8571428571427
2020-10-06,20895.285714285714,2568.285714285714
2020-10-07,21934.571428571428,2846.8571428571427
2020-10-08,21205.428571428572,2696.8571428571427
2020-10-09,20283.14285714286,2592.0
2020-10-10,18442.571428571428,2481.5714285714284
2020-10-11,18554.14285714286,3463.285714285714
2020-10-12,17939.285714285714,3970.285714285714
2020-10-13,18634.571428571428,4204.714285714285
2020-10-14,19165.0,3997.285714285714
2020-10-15,22616.285714285714,4490.571428571428
2020-10-16,23933.428571428572,4506.857142857143
2020-10-17,29583.85714285714,4287.285714285715
2020-10-18,29285.714285714286,3350.1428571428573
2020-10-19,30293.85714285714,2821.4285714285716
2020-10-20,30674.428571428572,2692.8571428571427
2020-10-21,29966.14285714286,2734.285714285714
2020-10-22,31728.0,2321.4285714285716
2020-10-23,31528.0,2599.5714285714284
2020-10-24,27614.0,2978.1428571428573
2020-10-25,28176.85714285714,2878.4285714285716
2020-10-26,28432.0,2883.714285714286
2020-10-27,28742.14285714286,2895.0
2020-10-28,28343.571428571428,2882.285714285714
2020-10-29,25600.85714285714,3400.8571428571427
2020-10-30,25301.285714285714,3489.285714285714
2020-10-31,29488.14285714286,3248.8571428571427
2020-11-01,33487.28571428572,4097.285714285715
2020-11-02,32726.428571428572,4274.142857142857
2020-11-03,31372.85714285714,4448.0
2020-11-04,30399.14285714286,4432.857142857143
2020-11-05,28246.85714285714,3699.4285714285716
2020-11-06,27869.0,3311.8571428571427
2020-11-07,23538.428571428572,3207.714285714286
2020-11-08,19844.714285714286,2944.5714285714284
2020-11-09,20011.285714285714,3585.4285714285716
2020-11-10,20958.285714285714,3499.0
2020-11-11,22973.0,3521.714285714286
2020-11-12,24289.714285714286,3755.1428571428573
2020-11-13,26620.85714285714,4052.4285714285716
2020-11-14,26671.428571428572,4148.571428571428
2020-11-15,27846.428571428572,4092.285714285714
2020-11-16,29026.428571428572,3544.285714285714
2020-11-17,30240.428571428572,3747.8571428571427
2020-11-18,28816.571428571428,3668.714285714286
2020-11-19,33609.71428571428,4135.142857142857
2020-11-20,33823.142857142855,4692.142857142857
2020-11-21,33690.857142857145,4826.0
2020-11-22,31201.14285714286,4864.857142857143
2020-11-23,28826.285714285714,4825.428571428572
2020-11-24,27348.714285714286,4463.428571428572
2020-11-25,27577.0,4519.142857142857
2020-11-26,21711.428571428572,3994.1428571428573
2020-11-27,20764.85714285714,3503.5714285714284
2020-11-28,23012.714285714286,3674.5714285714284
2020-11-29,23916.85714285714,3755.285714285714
2020-11-30,25986.428571428572,3808.285714285714
2020-12-01,26562.14285714286,3930.8571428571427
2020-12-02,26998.14285714286,4171.142857142857
2020-12-03,27226.0,4483.285714285715
2020-12-04,25521.714285714286,4449.428571428572
2020-12-05,24053.714285714286,4814.0
2020-12-06,22867.714285714286,4547.571428571428
2020-12-07,20376.428571428572,4283.0
2020-12-08,19869.285714285714,4058.4285714285716
2020-12-09,20129.571428571428,3769.285714285714
2020-12-10,19787.85714285714,3340.714285714286
2020-12-11,20854.428571428572,2967.285714285714
2020-12-12,19103.428571428572,2224.714285714286
2020-12-13,18324.14285714286,2086.4285714285716
2020-12-14,18347.571428571428,2051.714285714286
2020-12-15,17588.85714285714,2065.1428571428573
2020-12-16,16860.285714285714,2006.4285714285713
2020-12-17,16489.714285714286,2171.4285714285716
2020-12-18,15954.0,2499.0
2020-12-19,17049.714285714286,2775.5714285714284
2020-12-20,17903.85714285714,2716.5714285714284
2020-12-21,18505.428571428572,3102.4285714285716
2020-12-22,19775.285714285714,3678.4285714285716
2020-12-23,21180.714285714286,4172.0
2020-12-24,21858.14285714286,4319.857142857143
2020-12-25,20759.0,4139.285714285715
2020-12-26,21084.714285714286,4149.0
2020-12-27,22724.714285714286,4596.857142857143
2020-12-28,25031.428571428572,5330.428571428572
2020-12-29,26534.0,5555.285714285715
2020-12-30,26233.428571428572,5503.0
2020-12-31,27994.14285714286,7801.0
2021-01-01,31740.571428571428,8914.0
2021-01-02,31960.0,9783.142857142857
2021-01-03,33414.42857142857,12742.142857142857
2021-01-04,31394.285714285714,11919.142857142857
2021-01-05,29888.85714285714,11377.285714285714
2021-01-06,30879.571428571428,11124.857142857143
2021-01-07,27964.714285714286,9037.285714285714
2021-01-08,26643.0,7968.857142857143
2021-01-09,30635.14285714286,7288.428571428572
