,date,newCasesBySpecimenDate,newAdmissions,casesshifted,ratio,average,0-64,65+,0-64admissions,65+admissions,0-64admissionsnew,65+admissionsnew,casesshifted0-64,ratio0-64,average0-64,casesshifted65+,ratio65+,average65+
117,2021-02-27,4104,624.0,10023.0,62.2568093385214,79.51874889658939,3304.0,395.0,138133.0,238263.0,282.0,342.0,4362.0,64.64924346629986,92.83001202835035,381.0,897.6377952755905,1130.2417162654117
118,2021-02-26,5666,718.0,10816.0,66.38313609467455,83.3714658252168,4544.0,572.0,137851.0,237921.0,320.0,398.0,4585.0,69.7928026172301,99.70564474914588,462.0,861.4718614718615,1168.160939898921
119,2021-02-25,6609,832.0,12467.0,66.7361835245047,85.30221520909923,5247.0,745.0,137531.0,237523.0,404.0,428.0,2867.0,140.9138472270666,104.38470664873805,283.0,1512.3674911660778,1174.51550875349
120,2021-02-24,7291,874.0,7533.0,116.02283286871099,88.59692662964542,5859.0,739.0,137127.0,237095.0,407.0,467.0,3021.0,134.72360145647136,108.93675097300995,301.0,1551.4950166112958,1214.9416867053458
121,2021-02-23,8141,976.0,7740.0,126.09819121447028,90.61135393698612,6490.0,866.0,136720.0,236628.0,474.0,502.0,3716.0,127.55651237890203,112.58556120292535,385.0,1303.8961038961038,1206.8263516412596
122,2021-02-22,9856,980.0,10563.0,92.7766732935719,93.5920164769874,7769.0,1098.0,136246.0,236126.0,456.0,510.0,3887.0,117.31412400308722,116.6490632980195,444.0,1148.6486486486488,1220.7851819266205
123,2021-02-21,6799,1009.0,11223.0,89.90466007306425,95.92173775021823,5390.0,665.0,135790.0,235616.0,447.0,558.0,4154.0,107.6071256620125,117.9223537948768,454.0,1229.0748898678414,1269.5890389540562
124,2021-02-20,6890,904.0,11839.0,76.35780048990624,96.73185361190427,5490.0,725.0,135343.0,235058.0,411.0,486.0,4557.0,90.19091507570771,121.28940761655694,578.0,840.8304498269896,1304.7280872139254
125,2021-02-19,8882,1068.0,12241.0,87.24777387468343,96.41467164051161,7021.0,1008.0,134932.0,234572.0,457.0,611.0,4652.0,98.23731728288908,120.64124387631139,637.0,959.1836734693877,1306.2694030409555
126,2021-02-18,9904,1149.0,13836.0,83.04423243712056,96.67672339408657,7768.0,1110.0,134475.0,233961.0,476.0,673.0,3177.0,149.82688070506768,118.42100350373934,363.0,1853.9944903581268,1293.2793276347727
127,2021-02-17,10023,1233.0,10132.0,121.69364390051322,95.89940542198822,7849.0,1129.0,133999.0,233288.0,523.0,710.0,3304.0,158.29297820823243,117.28794449187161,395.0,1797.4683544303798,1268.4801117808513
128,2021-02-16,10816,1311.0,10583.0,123.87791741472172,95.16534022240374,8434.0,1259.0,133476.0,232578.0,559.0,752.0,4544.0,123.01936619718309,116.00379219512183,572.0,1314.6853146853146,1265.9794239632708
129,2021-02-15,12467,1322.0,13973.0,94.61103556859658,93.36549318107896,9691.0,1574.0,132917.0,231826.0,534.0,788.0,5247.0,101.77244139508291,111.82591090922797,745.0,1057.7181208053692,1230.6966145084975
130,2021-02-14,7533,1364.0,16149.0,84.46343426837575,91.73148370242234,5942.0,819.0,132383.0,231038.0,584.0,780.0,5859.0,99.67571257893839,106.64258498820186,739.0,1055.4803788903923,1143.7135133080349
131,2021-02-13,7740,1240.0,17411.0,71.21934409281488,90.34826195264506,6107.0,867.0,131799.0,230258.0,527.0,713.0,6490.0,81.20184899845917,99.7982329100547,866.0,823.3256351039261,1069.9865070100989
132,2021-02-12,10563,1318.0,17656.0,74.64884458541006,87.23139698994507,8244.0,1319.0,131272.0,229545.0,536.0,782.0,7769.0,68.99214828163213,94.77821195108625,1098.0,712.2040072859745,1011.7094665902013
